Mode,Time
Experiment,4069.0
Control,4231.0
Experiment,1880.0
Control,2750.0
Control,879.0
Experiment,1358.0
Experiment,1799.0
Control,4939.0
Control,1745.0
Control,2150.0
Experiment,1187.0
Experiment,2147.0
Experiment,4351.0
Experiment,1597.0
Control,5453.0
Control,2712.0
Control,3003.0
Experiment,5315.0
Experiment,1817.0
Control,1996.0
Control,1628.0
Experiment,7297.0
Control,919.0
Experiment,8729.0
,
Control,7186.0
Control,3552.0
,
Experiment,2463.0
Control,803.0
Experiment,1574.0
,
Control,7645.0
Experiment,1181.0
Control,657.0
Control,2701.0
Experiment,3414.0
Control,3400.0
,
Control,2453.0
Experiment,2187.0
Experiment,890.0
Experiment,3398.0
Experiment,2828.0
Control,2077.0
Experiment,1532.0
Control,3370.0
Control,1030.0
Experiment,401.0
Experiment,3310.0
Experiment,5353.0
Experiment,1785.0
Experiment,926.0
Experiment,4387.0
Control,12460.0
Experiment,2377.0
Experiment,2885.0
Control,3499.0
Experiment,4242.0
Control,3583.0
Experiment,10244.0
Control,2641.0
Experiment,2958.0
Control,4976.0
Control,4289.0
Experiment,2329.0
Control,2026.0
Experiment,3055.0
Control,1104.0
Control,914.0
Experiment,861.0
Control,3439.0
,
Control,2002.0
Control,5010.0
,
Control,6851.0
Experiment,5488.0
Experiment,4166.0
Experiment,1781.0
Experiment,876.0
Experiment,1403.0
Control,8011.0
Control,7273.0
Control,1581.0
Control,13539.0
Control,3989.0
Control,1862.0
Control,1972.0
Experiment,6681.0
Experiment,842.0
Control,1241.0
Control,7901.0
Control,949.0
Control,21621.0
Control,1704.0
Experiment,1250.0
Experiment,2256.0
Experiment,3204.0
,
Experiment,451.0
Experiment,1611.0
,
Experiment,1602.0
Experiment,338.0
Experiment,2693.0
,
Control,2372.0
Control,2385.0
Control,1454.0
Control,2563.0
Control,2893.0
Experiment,5629.0
,
Experiment,7399.0
Control,4949.0
Experiment,2918.0
Experiment,1414.0
Control,5080.0
Control,1600.0
,
Control,642.0
Experiment,390.0
Control,1568.0
Control,3591.0
Control,14709.0
Control,2384.0
Control,1862.0
Control,2844.0
Control,3734.0
Control,1613.0
Experiment,3500.0
Experiment,417.0
Control,1115.0
Experiment,6365.0
Experiment,2037.0
Control,356.0
,
Control,8972.0
Experiment,4001.0
,
Experiment,6560.0
,
Experiment,2606.0
Experiment,2828.0
Experiment,1202.0
Control,2686.0
Experiment,1123.0
Experiment,1970.0
,
Experiment,3336.0
Experiment,5333.0
Control,1807.0
Control,2549.0
Experiment,3678.0
Experiment,4564.0
Control,1110.0
Control,4268.0
Control,11509.0
Experiment,1936.0
,
Control,4797.0
Control,702.0
Experiment,1927.0
Experiment,4147.0
Control,2308.0
Control,3862.0
Experiment,596.0
Control,3019.0
Experiment,3500.0
Experiment,2213.0
Experiment,3442.0
,
Control,2446.0
Control,178.0
Experiment,6836.0
Experiment,12433.0
Experiment,3157.0
Experiment,2311.0
Control,3165.0
Control,1471.0
Control,2987.0
Experiment,3716.0
Experiment,2469.0
,
Control,2289.0
Experiment,2451.0
Experiment,4460.0
Control,2243.0
Experiment,3161.0
Experiment,1438.0
,
Experiment,2221.0
Experiment,2384.0
Experiment,2068.0
Experiment,3925.0
Experiment,1130.0
Experiment,4707.0
Control,7021.0
Experiment,11970.0
Experiment,4538.0
Control,747.0
Experiment,2359.0
Control,5339.0
Control,1535.0
Experiment,4964.0
Control,3553.0
Experiment,716.0
Experiment,3145.0
Experiment,2862.0
Experiment,1271.0
,
,
Control,2352.0
Experiment,1648.0
Control,2414.0
Control,3299.0
Experiment,4346.0
Experiment,1985.0
,
Control,1069.0
Control,3532.0
Experiment,2307.0
Experiment,11175.0
,
Experiment,2934.0
Control,2476.0
Experiment,4747.0
Experiment,2736.0
Experiment,5793.0
Experiment,2408.0
Experiment,2814.0
,
Control,1570.0
Experiment,5129.0
Control,3434.0
Control,2580.0
Experiment,1790.0
Experiment,2522.0
Experiment,1666.0
Control,2786.0
Control,1702.0
Control,4148.0
Experiment,4337.0
Experiment,382.0
Experiment,4109.0
Control,386.0
Control,1842.0
Experiment,2453.0
Experiment,3051.0
Experiment,1909.0
,
Experiment,5278.0
Experiment,1298.0
Control,474.0
Control,2310.0
Experiment,6576.0
Control,2043.0
Control,2518.0
Experiment,85.0
Control,5894.0
Experiment,1383.0
Experiment,2158.0
Experiment,2619.0
Experiment,1541.0
Experiment,2692.0
Control,1267.0
Experiment,1511.0
Experiment,378.0
Control,1475.0
Control,2082.0
Control,1802.0
Control,168.0
Experiment,1353.0
Experiment,2230.0
Experiment,349.0
Experiment,3889.0
Control,3587.0
Experiment,8091.0
Control,2115.0
Experiment,2971.0
Experiment,978.0
Experiment,3613.0
Control,9451.0
Control,352.0
